Subdirectory	RGPU
272dc87c-fe03-4935-aaef-45bd15a8144b	Run0208_AC2LDDACXX_L2
5d962ea6-ab04-4282-a2bc-6e9d69912ecc	Run0257_BC53U3ACXX_L3
d02f28ef-0325-477d-bb21-6b3f9e47a4bb	Run0256_AC53WMACXX_L8
3d2548fc-2e0b-457b-9749-347783a741ef	Run0253_BC4H6AACXX_L4
ab3d5a18-beb1-4939-8059-d907a10bb52d	Run0231_AC3NBVACXX_L8
f4a9f3bd-503c-4a08-84b1-5f2b3050892b	Run0247_BC4972ACXX_L7
bfe8aab3-1d49-4187-9d88-a66290f248aa	Run0253_BC4H6AACXX_L8
45abd7da-8888-4f1a-b15f-295961f14e69	Run0248_AC4D43ACXX_L2
70c6e146-a01a-477a-b6c2-a2c624ce21d5	Run0292_AC699LACXX_L3
fdeb6742-bc95-44a8-8d6f-0d5a66589cbc	Run0247_BC4972ACXX_L1
05eba660-98e2-4b84-8809-44d146df1b32	Run0248_AC4D43ACXX_L4
7c1f6f50-446c-4ef1-93bd-5ac5832c4eaa	Run0253_BC4H6AACXX_L4
287891a3-db78-40cc-9681-cbaa8ce1f959	Run0253_BC4H6AACXX_L7
a8f0ecae-bd76-4478-b83e-f9b0155946eb	Run0221_BC3H8JACXX_L6
2c8124e5-25c5-4baa-b50f-608ebaf887ba	Run0247_BC4972ACXX_L7
1666dd35-b5e3-47a3-a104-a018a455857b	Run0247_BC4972ACXX_L7
54d59fff-a335-4905-8c45-3af5d0cfde24	Run0253_BC4H6AACXX_L1
5389707e-9158-4486-a4cc-5642792c0c07	Run0257_BC53U3ACXX_L3
55f85a63-83c5-45e6-a6b4-d20f344858d0	Run0246_AC48UDACXX_L5
baa14851-4003-45d9-bdfa-767e0bfae409	Run0231_AC3NBVACXX_L8
a2d81f72-9ce9-4539-b7a3-0b6b89836a1c	Run0343_AC87WGACXX_L4
0cfe2626-8234-4d82-ac66-d4919af9c6ea	Run0247_BC4972ACXX_L6
aa37245d-321c-41c4-88be-671d1e8c2e12	Run0223_BC3JDHACXX_L2
