folder_name	file_fastq	file_bam	RGID	RGLB	RGPL	RGSM	RGDS1	RGDS2	RGPU
083563b9-8f55-4df2-965b-84292543ca35	E7.10.764.fastq.gz	E7.10.764.step1.Aligned.sortedByCoord.out.bam	E7.10.764	E7.10.764	illumina	E7.10	Smart-seq2	inner-cell-mass-cell	Run0246_AC48UDACXX_L6
045ecbc8-d555-4717-a1d0-fc47a58d32f1	E4.24_5_0_4.1.fastq.gz	E4.24_5_0_4.1.step1.Aligned.sortedByCoord.out.bam	E4.24_5_0_4.1	E4.24_5_0_4.1	illumina	E4.24_5_0_4	Smart-seq2	embryonic-cell-metazoa	Run0203_BC2KF2ACXX_L5
ec6674b6-8547-45b6-82fa-98f4f811ccce	E7.2.148.fastq.gz	E7.2.148.step1.Aligned.sortedByCoord.out.bam	E7.2.148	E7.2.148	illumina	E7.2	Smart-seq2	embryonic-cell-metazoa	Run0215_BC2NRKACXX_L7
4ace6801-36cb-4a75-9214-a5e77b9d8b70	E7.12.880.fastq.gz	E7.12.880.step1.Aligned.sortedByCoord.out.bam	E7.12.880	E7.12.880	illumina	E7.12	Smart-seq2	inner-cell-mass-cell	Run0247_BC4972ACXX_L5
535d511d-e82e-4e3a-aa09-e5cb5e315e08	E7.17.1316.fastq.gz	E7.17.1316.step1.Aligned.sortedByCoord.out.bam	E7.17.1316	E7.17.1316	illumina	E7.17	Smart-seq2	embryonic-cell-metazoa	Run0253_BC4H6AACXX_L1
e05f04b6-0feb-45bf-bbd3-27f45ff9fbcb	E6.18.1627.fastq.gz	E6.18.1627.step1.Aligned.sortedByCoord.out.bam	E6.18.1627	E6.18.1627	illumina	E6.18	Smart-seq2	embryonic-cell-metazoa	Run0253_BC4H6AACXX_L8
570401fe-34df-4466-ba73-3616c14073a7	E7.3.170.fastq.gz	E7.3.170.step1.Aligned.sortedByCoord.out.bam	E7.3.170	E7.3.170	illumina	E7.3	Smart-seq2	embryonic-cell-metazoa	Run0221_BC3H8JACXX_L5
ec5e3707-312a-45bc-9a23-85386418b9c8	E5.16.1900.fastq.gz	E5.16.1900.step1.Aligned.sortedByCoord.out.bam	E5.16.1900	E5.16.1900	illumina	E5.16	Smart-seq2	embryonic-cell-metazoa	Run0257_BC53U3ACXX_L7
e52c99c3-e81d-48a9-b908-9d037ab958b7	E6.17.1579.fastq.gz	E6.17.1579.step1.Aligned.sortedByCoord.out.bam	E6.17.1579	E6.17.1579	illumina	E6.17	Smart-seq2	embryonic-cell-metazoa	Run0253_BC4H6AACXX_L7
549c2eb3-a9c0-476f-9ce2-7aedc3409c92	E5.16.1910.fastq.gz	E5.16.1910.step1.Aligned.sortedByCoord.out.bam	E5.16.1910	E5.16.1910	illumina	E5.16	Smart-seq2	embryonic-cell-metazoa	Run0257_BC53U3ACXX_L7
c1619b51-7d5d-44d0-aef8-34e8db7c871b	E6.14.1417.fastq.gz	E6.14.1417.step1.Aligned.sortedByCoord.out.bam	E6.14.1417	E6.14.1417	illumina	E6.14	Smart-seq2	embryonic-cell-metazoa	Run0253_BC4H6AACXX_L3
0e6e365b-0975-49c9-9d7b-c94fc6968dbd	E7.16.1112.fastq.gz	E7.16.1112.step1.Aligned.sortedByCoord.out.bam	E7.16.1112	E7.16.1112	illumina	E7.16	Smart-seq2	embryonic-cell-metazoa	Run0248_AC4D43ACXX_L7
8ff8851a-f628-4f5a-af53-6d830ebe9861	E5.15.1828.fastq.gz	E5.15.1828.step1.Aligned.sortedByCoord.out.bam	E5.15.1828	E5.15.1828	illumina	E5.15	Smart-seq2	embryonic-cell-metazoa	Run0257_BC53U3ACXX_L2
737d946f-2185-456e-b2cc-fcefdfd8799d	E7.4.230.fastq.gz	E7.4.230.step1.Aligned.sortedByCoord.out.bam	E7.4.230	E7.4.230	illumina	E7.4	Smart-seq2	embryonic-cell-metazoa	Run0223_BC3JDHACXX_L2
94502846-00bb-4491-b70a-ccb14efc7536	E7.11.845.fastq.gz	E7.11.845.step1.Aligned.sortedByCoord.out.bam	E7.11.845	E7.11.845	illumina	E7.11	Smart-seq2	inner-cell-mass-cell	Run0247_BC4972ACXX_L3
b57d4c2a-a79f-419a-a5b8-df81ad7004a3	E6.6.708.fastq.gz	E6.6.708.step1.Aligned.sortedByCoord.out.bam	E6.6.708	E6.6.708	illumina	E6.6	Smart-seq2	inner-cell-mass-cell	Run0246_AC48UDACXX_L5
e8a70e36-9f3f-4a8d-a886-e74f4ca4f979	E6.12.1268.fastq.gz	E6.12.1268.step1.Aligned.sortedByCoord.out.bam	E6.12.1268	E6.12.1268	illumina	E6.12	Smart-seq2	embryonic-cell-metazoa	Run0248_AC4D43ACXX_L6
81274ece-5723-484f-98ef-d55eca2eacc8	E7.17.1326.fastq.gz	E7.17.1326.step1.Aligned.sortedByCoord.out.bam	E7.17.1326	E7.17.1326	illumina	E7.17	Smart-seq2	embryonic-cell-metazoa	Run0253_BC4H6AACXX_L1
83f21af5-d747-4933-9ad2-1a9f24002687	E4.24_5_0_4.4.fastq.gz	E4.24_5_0_4.4.step1.Aligned.sortedByCoord.out.bam	E4.24_5_0_4.4	E4.24_5_0_4.4	illumina	E4.24_5_0_4	Smart-seq2	embryonic-cell-metazoa	Run0203_BC2KF2ACXX_L5
851f1678-55d0-4c3f-9d15-765e665d04d0	E6.1.77.fastq.gz	E6.1.77.step1.Aligned.sortedByCoord.out.bam	E6.1.77	E6.1.77	illumina	E6.1	Smart-seq2	embryonic-cell-metazoa	Run0208_AC2LDDACXX_L3
