folder_name	RGID	RGLB	RGPL	RGDS1	RGDS2	RGSM	RGPU
b1b61be7-d365-4bd4-b758-0c22e3aef9a7	SRR11798420	SRR11798420_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD024N	NS500624:148:HVN2MBGX2:3
55e1b2b9-3868-474d-b933-9f5cc6c78cfa	SRR11798280	SRR11798280_LB	ILLUMINA	Drop-seq	HiSeq4000	BG9_26	K00208:YBP053:2
7c4eaf20-bf2e-4353-bcc3-070abb687953	SRR11798387	SRR11798387_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD022N	NS500624:148:HVN2MBGX2:2
d189f38d-12ed-45ed-b44d-09a2f6904747	SRR11798286	SRR11798286_LB	ILLUMINA	Drop-seq	HiSeq4000	BG9_35	K00208:YAP064:1
ee185b6d-166f-4e26-b6a2-48b99e00073f	SRR11798457	SRR11798457_LB	ILLUMINA	10X3v2	NextSeq500	ND16737_ALI	NB502093:47:HFLFMBGX9:3
302d54ff-f96d-499b-b6f0-58a10c27b856	SRR11798412	SRR11798412_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD024N	NS500624:148:HVN2MBGX2:2
1abfc876-157f-4f7b-8f48-f9040c2e4968	SRR11798381	SRR11798381_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD022N	NS500624:148:HVN2MBGX2:3
971130d6-83f3-4acb-95bc-12249433a28b	SRR11798380	SRR11798380_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD022N	NS500624:148:HVN2MBGX2:2
6d1aa81a-5972-429a-a94b-5a1f1635f25a	SRR11798372	SRR11798372_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD020N	NS500624:136:HCKW3BGX2:3
0621a3d0-148a-4d92-bf34-f6c33f2def12	SRR11798427	SRR11798427_LB	ILLUMINA	10X3v2	NextSeq500	ND17494	NB502093:58:HHTKJBGXB:1
c14b6ed2-c510-43c3-a600-5b011213b56f	SRR11798391	SRR11798391_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD023N	NS500624:148:HVN2MBGX2:1
b1bd25c2-5b54-4d3e-a1bb-ef2666470c7e	SRR11798467	SRR11798467_LB	ILLUMINA	10X3v2	NextSeq500	DD046_ALI	NB502093:21:H33YWBGX5:2
946e71ee-d659-44f6-891f-37d820fb1f40	SRR11798451	SRR11798451_LB	ILLUMINA	10X3v2	NextSeq500	ND15656_ALI	NB502093:33:H32JKBGX5:1
1febc7cb-6c15-4932-8b93-b6c0e3456bbd	SRR11798382	SRR11798382_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD022N	NS500624:148:HVN2MBGX2:4
7d7efbe2-2c51-4646-a7dd-46d74a0b338b	SRR11798480	SRR11798480_LB	ILLUMINA	Drop-seq	HiSeq4000	BG9_12	K00208:YBP040:1
14beb559-c475-4201-a609-9276c0111af4	SRR11798393	SRR11798393_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD023N	NS500624:148:HVN2MBGX2:3
0208fc0b-0c3a-4182-bd14-65b716a8dcd9	SRR11798429	SRR11798429_LB	ILLUMINA	10X3v2	NextSeq500	ND17494	NB502093:58:HHTKJBGXB:3
32af6309-b380-4cde-9172-922ab5ed137e	SRR11798463	SRR11798463_LB	ILLUMINA	10X3v2	NextSeq500	DD046_ALI	NB502093:19:HMKMFBGX3:2
